대학교 이름,출제 년도,문제 유형,문제 url,풀이 url
가천대학교,2025,모의논술 문제(A형),https://drive.google.com/file/d/192efFIY3E4YVScnN4gfLuaKLn6aOLyPU/view?usp=drive_link,https://drive.google.com/file/d/1_J1vzEQuFTMGaKbrvFIXzhKF6sH1DYFe/view?usp=drive_link
가천대학교,2025,모의논술 문제(B형),https://drive.google.com/file/d/17D4hmA5cJktqvfEGhESNjGep9IUqgphU/view?usp=drive_link,https://drive.google.com/file/d/1MFGHMjUXtyt4vq4M3oc3Om-lFSaMd8LR/view?usp=drive_link
가천대학교,2025,모의논술 문제(의예),https://drive.google.com/file/d/1wSule9G1QvHphHY221C-map-bWMsPiLu/view?usp=drive_link,https://drive.google.com/file/d/1pKI8PmlTHBZoHAvbM71tKzc5hragBQTz/view?usp=drive_link
가톨릭대학교,2025,"모의논술 문제(자연공학계열,간호학과)",https://drive.google.com/file/d/1LcNiM-nnDmrHGCMWtaVhV_Xhbw2FnTzj/view?usp=drive_link,https://drive.google.com/file/d/1LGwrVYdPxQ8vLxrWMnwRr8OvUrVPC2MX/view?usp=drive_link
건국대학교,2025,모의논술 문제(KU자유전공학부),https://drive.google.com/file/d/183MhOxzNe3-0gOSZ6Hq4N2FG6uIwmciG/view?usp=drive_link,https://drive.google.com/file/d/1Nd7TKTmkxbEfEbgT2S9ZQ3xjm47pIHw4/view?usp=drive_link
건국대학교,2025,모의논술 문제(인문사회계열2),https://drive.google.com/file/d/1FDNtRV8HW8OfziVCx50vZtGEGr_-1G8j/view?usp=drive_link,https://drive.google.com/file/d/1tn0kaCDjuXPV8JYVBwl4Sel_yG1zRial/view?usp=drive_link
건국대학교,2025,모의논술 문제(자연계열),https://drive.google.com/file/d/1y4IZqHu9xssttVskQHwSKfLcPmfkjvtR/view?usp=drive_link,https://drive.google.com/file/d/1De4_2HCf3lWm7caDgdYoPYX0Cn6mU5QC/view?usp=drive_link
경기대학교,2025,모의논술 문제(자유전공학부),https://drive.google.com/file/d/1NGtZ1M5pX5BmNpApOlBPFkf0SJP69NXv/view?usp=drive_link,https://drive.google.com/file/d/1Spq4Slm9eUU16He7Ezozziar0wwkLtON/view?usp=drive_link
경북대학교,2025,모의논술 문제(자연계열1),https://drive.google.com/file/d/137_3gu8WUh567yAHgMesi9qqKhbI0dpy/view?usp=drive_link,https://drive.google.com/file/d/1D71fk81ds7yW3DGe1YINbX_kRGtLTuRJ/view?usp=drive_link
경북대학교,2025,모의논술 문제(자연계열2_의치수),https://drive.google.com/file/d/1F858FUf3W2IhMABR7Nfb0faO2z8AFsfk/view?usp=drive_link,https://drive.google.com/file/d/129NMzN9jL04htFyXK81w4XjBhML6dwHS/view?usp=drive_link
